Country code,Total number of cases,Number of people infected  ,Total  number of people removed 
110,52586,8200,44386
111,87052,383,86669
112,10286329,244451,10041878
113,751270,111005,640265
114,1231429,55337,1176092
115,436728,49236,387492
116,234943,37311,197632
117,61769,17899,43870
118,115078,23433,91645
119,482178,34773,447405
120,144042,2241,141801
121,362878,2477,360401
122,7163,2827,4336
123,2220855,85002,2135853
124,209678,22988,186690
125,125042,14568,110474
210,648289,67284,581005
211,165930,33790,132140
212,36400,6842,29558
213,2477273,257559,2219714
214,1762525,377086,1385439
215,2139311,537086,1602225
216,805164,272720,532444
217,49803,11709,38094
218,3186336,548643,2637693
219,1982542,290603,1691939
220,457376,183972,273404
221,451186,113439,337747
222,2535801,1234453,1301348
310,582697,79488,503209
311,20869521,7652301,13217220
410,1629594,159599,1469995
411,7743765,771109,6972656
412,612564,16701,595863
413,1017199,65000,952199
510,14800,2600,12200
511,26848,1508,25340
512,139471,20484,118987
513,124652,10464,114188
514,54930,837,54093
515,96614,11300,85314
516,17714,225,17489
517,18794,1947,16847
518,88587,12920,75667
519,8460,1768,6692
520,1080374,157968,922406
521,3662,151,3511
522,20997,1834,19163
610,28427,236,28191
611,2162,55,2107
